序号,名单名称,中文全名,英文名,身份确认,数据状态,数据版本,来源类型,来源OVR,调整后OVR,评级,位置池,主位置,副位置,原始位置,国籍,俱乐部,联赛,身高cm,年龄,惯用脚,逆足,花式,passing,firstTouch,dribbling,crossing,finishing,longShots,heading,setPieces,tackling,marking,positioning,vision,decisions,composure,offBall,discipline,pace,acceleration,strength,stamina,agility,jumping,workRate,aggression,goalkeeping,reflexes,来源ID,来源URL,数据集URL,备注
1,拉莫斯,塞尔希奥·拉莫斯,Sergio Ramos,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,,DEF,CB,DM,CB,西班牙,皇家马德里,,184,,right,,,64,63,44,39,35,41,95,43,99,99,98,58,83,79,44,68,69,66,93,79,62,94,81,83,10,10,,,,
2,贝尔,加雷斯·贝尔,Gareth Bale,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,82,82,,MID,RM,RW,RM,Wales,Real Madrid CF,,185,31,left,3,4,80,83,80,86,82,87,84,85,52,50,52,79,78,85,82,68,82,80,76,61,78,84,61,64,8,8,173731,https://cdn.sofifa.com/players/173/731/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
3,卡塞米罗,卡塞米罗,Casemiro,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,80,,MID,DM,AM,CDM,Brazil,Man Utd,Premier League,185,34,right,3,2,78,77,68,76,69,78,80,70,83,78,78,68,79,77,71,57,36,35,81,54,48,75,54,90,8,8,200145,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/casemiro/200145,https://www.ea.com/games/ea-sports-fc/ratings,
4,皮克,杰拉德·皮克,Gerard Piqué,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,DEF,CB,RB,CB,未登记,未登记俱乐部,,187,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
5,阿尔维斯,丹尼·阿尔维斯,Dani Alves,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,,DEF,RB,CB,RB,巴西,巴塞罗那,,172,,right,,,82,74,77,90,49,59,59,58,79,79,77,75,73,73,74,70,93,91,70,94,83,66,92,68,10,10,,,,
6,德米凯利斯,马丁·德米凯利斯,Martín Demichelis,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,83,83,,DEF,CB,RB,CB,阿根廷,传奇球员,,186,,right,,,63,60,41,36,32,38,84,40,89,89,88,55,80,76,41,70,66,63,84,76,59,84,78,73,10,10,,,,
7,佩德罗,佩德罗,Pedro,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,77,77,,MID,RM,LM,RM,Spain,Latium,Serie A Enilive,169,38,right,5,4,75,85,84,83,75,76,39,68,28,41,42,67,79,80,82,70,64,73,41,60,88,48,60,53,8,8,189505,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedro/189505,https://www.ea.com/games/ea-sports-fc/ratings,
8,迭戈米利托,迭戈·米利托,Diego Milito,已映射,26项已齐,FIFA historical snapshot (2014),FIFA historical database archive,78,78,,ATT,ST,,ST,Argentina,Racing Club,,183,36,right,3,3,71,84,78,63,82,61,79,76,20,17,20,77,76,1,87,45,63,65,73,52,62,80,52,46,8,8,,https://cdn.sofifa.com/players/142/708/16_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
9,内维尔,加里·内维尔,Gary Neville,需确认,26项已齐,FIFA historical snapshot (1991),FIFA historical database archive,76,76,,DEF,CB,,CB,England,Manchester United,,178,35,right,3,2,66,64,44,72,31,28,75,40,82,78,78,70,72,1,45,35,67,64,74,65,51,70,65,87,8,8,,https://cdn.sofifa.com/players/000/244/11_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,暂按加里·内维尔处理，请确认
10,莫拉塔,莫拉塔,Morata,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,81,81,,ATT,ST,AM,ST,Spain,Como,Serie A Enilive,190,33,right,4,3,74,83,80,77,82,76,84,68,17,37,32,72,81,79,84,65,78,79,79,79,76,91,79,69,8,8,201153,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morata/201153,https://www.ea.com/games/ea-sports-fc/ratings,
11,麦孔,麦孔,Maicon,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,DEF,RB,RM,RB,未登记,未登记俱乐部,,178,,right,,,74,72,71,81,47,57,57,56,77,76,75,68,71,71,72,68,85,84,68,85,81,64,85,66,10,10,,,,
12,瓦拉内,拉斐尔·瓦拉内,Raphaël Varane,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,86,86,,DEF,CB,RB,CB,France,Manchester United,,191,28,right,3,2,73,78,55,42,46,53,86,47,88,86,86,59,84,83,55,64,82,79,86,76,62,81,76,80,8,8,201535,https://cdn.sofifa.com/players/201/535/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
