序号,名单名称,中文全名,英文名,身份确认,数据状态,数据版本,来源类型,来源 OVR,调整后 OVR,评级,位置池,主位置,副位置,国籍,俱乐部,身高cm,年龄,惯用脚,逆足,花式,传球,停球,盘带,传中,射门,远射,头球,定位球,抢断,盯人,站位,视野,决策,冷静,无球,纪律,速度,加速,力量,耐力,灵活,弹跳,投入,侵略性,守门,反应,来源 ID,来源 URL,数据集 URL,备注
1,拉莫斯,塞尔希奥·拉莫斯,Sergio Ramos,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,89,A,DEF,CB,RB,西班牙,皇家马德里,184,,right,,,64,63,44,39,35,41,95,43,99,99,98,58,83,79,44,68,69,66,93,79,62,94,81,83,10,10,,,,
2,贝尔,加雷斯·贝尔,Gareth Bale,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,82,89,A,ATT,RW,RB,威尔士,皇家马德里,185,31,left,3,4,80,83,80,86,82,87,84,85,52,50,52,79,78,85,82,68,82,80,76,61,78,84,61,64,8,8,173731,https://cdn.sofifa.com/players/173/731/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
3,卡塞米罗,卡塞米罗,Casemiro,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,88,A,MID,DM,AM,巴西,皇家马德里,185,34,right,3,2,78,77,68,76,69,78,80,70,83,78,78,68,79,77,71,57,36,35,81,54,48,75,54,90,8,8,200145,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/casemiro/200145,https://www.ea.com/games/ea-sports-fc/ratings,
4,皮克,杰拉德·皮克,Gerard Piqué,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,B,DEF,CB,RB,西班牙,巴塞罗那,187,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
5,阿尔维斯,丹尼·阿尔维斯,Dani Alves,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,86,A,DEF,RB,CB,巴西,巴塞罗那,172,,right,,,82,74,77,90,49,59,59,58,79,79,77,75,73,73,74,70,93,91,70,94,83,66,92,68,10,10,,,,
6,德米凯利斯,马丁·德米凯利斯,Martín Demichelis,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,83,84,B,DEF,CB,RB,阿根廷,拜仁慕尼黑,186,,right,,,63,60,41,36,32,38,84,40,89,89,88,55,80,76,41,70,66,63,84,76,59,84,78,73,10,10,,,,
7,佩德罗,佩德罗,Pedro,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,77,82,B,MID,RM,LM,西班牙,巴塞罗那,169,38,right,5,4,75,85,84,83,75,76,39,68,28,41,42,67,79,80,82,70,64,73,41,60,88,48,60,53,8,8,189505,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedro/189505,https://www.ea.com/games/ea-sports-fc/ratings,
8,迭戈米利托,迭戈·米利托,Diego Milito,已映射,26项已齐,FIFA historical snapshot (2014),FIFA historical database archive,78,87,A,ATT,ST,LW,阿根廷,国际米兰,183,36,right,3,3,71,84,78,63,82,61,79,76,20,17,20,77,76,1,87,45,63,65,73,52,62,80,52,46,8,8,,https://cdn.sofifa.com/players/142/708/16_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
9,加里内维尔,加里·内维尔,Gary Neville,需确认,26项已齐,FIFA historical snapshot (1991),FIFA historical database archive,76,86,A,DEF,CB,DM,英格兰,曼联,178,35,right,3,2,66,64,44,72,31,28,75,40,82,78,78,70,72,1,45,35,67,64,74,65,51,70,65,87,8,8,,https://cdn.sofifa.com/players/000/244/11_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,暂按加里·内维尔处理，请确认
10,莫拉塔,莫拉塔,Morata,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,81,84,B,ATT,ST,AM,西班牙,马德里竞技,190,33,right,4,3,74,83,80,77,82,76,84,68,17,37,32,72,81,79,84,65,78,79,79,79,76,91,79,69,8,8,201153,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morata/201153,https://www.ea.com/games/ea-sports-fc/ratings,
11,麦孔,麦孔,Maicon,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,88,A,DEF,RB,RM,巴西,国际米兰,178,,right,,,74,72,71,81,47,57,57,56,77,76,75,68,71,71,72,68,85,84,68,85,81,64,85,66,10,10,,,,
12,瓦拉内,拉斐尔·瓦拉内,Raphaël Varane,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,86,87,A,DEF,CB,RB,法国,皇家马德里,191,28,right,3,2,73,78,55,42,46,53,86,47,88,86,86,59,84,83,55,64,82,79,86,76,62,81,76,80,8,8,201535,https://cdn.sofifa.com/players/201/535/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
13,布斯克茨,布斯克茨,Sergio Busquets,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,86,A,MID,DM,AM,西班牙,巴塞罗那,189,37,right,3,3,80,79,80,79,65,54,68,65,78,78,78,59,76,83,73,63,35,34,72,75,64,64,75,76,8,8,189511,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sergio-busquets/189511,https://www.ea.com/games/ea-sports-fc/ratings,
14,摩根罗杰斯,摩根·罗杰斯,Morgan Rogers,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,82,85,B,MID,AM,RM,西班牙,切尔西,188,23,right,4,4,80,84,86,83,80,75,64,64,61,68,68,75,82,85,81,67,77,74,80,83,80,79,83,70,8,8,260247,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morgan-rogers/260247,https://www.ea.com/games/ea-sports-fc/ratings,
15,蒂亚戈席尔瓦,蒂亚戈·席尔瓦,Thiago Silva,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,89,A,DEF,CB,DM,巴西,巴黎圣日尔曼,186,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
16,内马尔,内马尔,Neymar Jr,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,92,S,ATT,LW,AM,巴西,巴塞罗那,175,,right,,,86,94,99,83,85,79,59,81,30,32,49,86,80,84,87,68,92,98,61,78,98,61,73,49,8,8,,,,
17,儒利奥塞萨尔,儒利奥·塞萨尔,Júlio César,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,90,S,GK,GK,,巴西,国际米兰,190,,left,,,57,54,27,17,9,13,24,23,19,17,85,54,79,77,19,75,47,49,75,61,69,81,54,35,91,91,,,,
18,斯坦科维奇,德扬·斯坦科维奇,Dejan Stanković,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,83,85,B,MID,DM,AM,塞尔维亚,国际米兰,178,,right,,,82,77,66,60,49,64,68,62,82,79,82,77,80,80,65,72,68,66,76,84,67,70,85,70,10,10,,,,
19,本阿尔法,哈特姆·本阿尔法,Hatem Ben Arfa,已映射,26项已齐,FIFA historical snapshot (2020),FIFA historical database archive,75,79,C,MID,AM,LM,法国,里昂,178,33,left,4,5,73,78,83,72,70,73,46,79,24,31,34,78,71,80,72,65,70,73,64,62,75,74,62,61,8,8,,https://cdn.sofifa.com/players/161/648/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
20,德罗西,丹尼尔·德罗西,Daniele De Rossi,需确认,26项已齐,FIFA historical snapshot (2019),FIFA historical database archive,82,86,A,DEF,CB,DM,意大利,罗马,183,35,right,4,2,78,77,64,57,50,72,81,71,81,90,90,73,80,92,55,65,59,60,78,70,62,74,70,83,8,8,,https://cdn.sofifa.com/players/053/302/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,按常见笔误映射为丹尼尔·德罗西，请确认
21,托蒂,弗朗切斯科·托蒂,Francesco Totti,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,A,ATT,ST,LW,意大利,罗马,187,,right,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,,,,
22,马特拉齐,马尔科·马特拉齐,Marco Materazzi,已映射,26项已齐,FIFA historical snapshot (2001),FIFA historical database archive,76,91,S,DEF,CB,RB,意大利,国际米兰,193,36,left,3,2,63,50,30,44,39,68,80,65,73,80,80,66,66,1,24,35,61,57,88,58,57,82,58,85,8,8,,https://cdn.sofifa.com/players/177/844/11_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
23,鲁伊科斯塔,鲁伊·科斯塔,Rui Costa,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,B,MID,AM,DM,葡萄牙,AC米兰,180,,right,,,98,94,87,77,77,79,51,80,44,42,57,99,91,91,83,66,75,78,60,75,83,54,72,47,10,10,,,,
24,科恩特朗,法比奥·科恩特朗,Fábio Coentrão,已映射,26项已齐,FIFA historical snapshot (2018),FIFA historical database archive,77,82,B,MID,LB,RB,葡萄牙,皇家马德里,178,30,left,2,4,76,79,81,80,65,67,63,61,79,68,72,76,77,82,76,61,75,77,66,82,76,79,82,80,8,8,,https://cdn.sofifa.com/players/171/688/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
25,卡瓦略,卡瓦略,Ricardo Carvalho,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,84,B,DEF,CB,RB,葡萄牙,切尔西,186,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
26,比利亚,大卫·比利亚,David Villa,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,86,86,A,ATT,ST,AM,西班牙,巴塞罗那,188,,right,,,72,84,81,61,93,82,78,70,30,28,49,69,82,89,91,65,83,84,78,74,79,75,72,63,8,8,,,,
27,华金,华金,Joaquín,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,69,85,B,MID,LM,ST,西班牙,马拉加,173,27,left,5,3,62,67,70,66,64,62,44,49,21,21,22,68,62,65,69,59,82,83,61,63,81,64,63,55,8,8,246276,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joaquin/246276,https://www.ea.com/games/ea-sports-fc/ratings,
28,肯佩斯,肯佩斯,Mario Kempes,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,87,89,A,ATT,ST,RW,阿根廷,瓦伦西亚,187,,left,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,,,,
30,盖德穆勒,盖德·穆勒,Gerd Müller,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,89,94,S,ATT,ST,AM,德国,拜仁慕尼黑,188,,right,,,74,86,83,63,95,84,80,72,32,30,51,71,84,91,93,67,85,86,80,76,81,77,74,65,8,8,,,,
31,里杰卡尔德,里杰卡尔德,Frank Rijkaard,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,90,S,MID,DM,CB,荷兰,AC米兰,190,,right,,,90,80,69,63,52,67,76,65,93,88,89,80,83,88,68,73,71,69,84,87,70,73,93,79,10,10,,,,
32,古力特,古利特,Ruud Gullit,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,89,90,S,MID,AM,ST,荷兰,AC米兰,191,,right,,,96,91,92,80,80,85,61,83,53,45,60,93,88,89,89,69,78,81,70,85,86,57,82,50,10,10,,,,
33,阿扎尔,阿扎尔,Eden Hazard,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,85,88,A,ATT,LW,ST,比利时,切尔西,175,30,right,4,4,83,88,89,77,78,77,61,83,25,34,38,84,79,89,83,73,84,86,61,77,87,55,77,54,8,8,183277,https://cdn.sofifa.com/players/183/277/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
34,法尔考,拉达梅尔·法尔考,Radamel Falcao,已映射,26项已齐,FIFA historical snapshot (2019),FIFA historical database archive,80,88,A,ATT,ST,AM,哥伦比亚,马德里竞技,178,34,right,4,3,69,81,73,55,83,75,84,78,31,39,40,67,82,82,87,65,64,66,71,60,75,85,60,73,8,8,,https://cdn.sofifa.com/players/167/397/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,用户已确认：哥伦比亚前锋 Radamel Falcao
35,哈维阿隆索,哈维·阿隆索,Xabi Alonso,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,87,A,MID,DM,CB,西班牙,皇家马德里,183,,right,,,91,78,67,61,50,65,69,69,87,80,86,85,87,86,66,73,66,67,77,85,68,71,86,71,10,10,,,,
36,托马斯穆勒,托马斯·穆勒,Thomas Müller,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,87,A,MID,AM,ST,德国,拜仁慕尼黑,185,36,right,4,3,81,80,77,87,81,74,79,70,52,47,53,85,88,88,90,73,59,53,66,63,67,73,63,62,8,8,189596,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thomas-muller/189596,https://www.ea.com/games/ea-sports-fc/ratings,
37,博格巴,博格巴,Paul Pogba,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,79,89,A,MID,AM,DM,法国,尤文图斯,191,33,right,4,5,84,86,87,83,68,81,73,80,62,52,56,72,71,82,73,60,64,60,88,56,68,82,56,77,8,8,195864,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paul-pogba/195864,https://www.ea.com/games/ea-sports-fc/ratings,
