序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,来源OVR,调整后OVR,评级,位置池,主位置,副位置,原始位置,国籍,俱乐部,联赛,身高cm,年龄,惯用脚,逆足,花式,passing,firstTouch,dribbling,crossing,finishing,longShots,heading,setPieces,tackling,marking,positioning,vision,decisions,composure,offBall,discipline,pace,acceleration,strength,stamina,agility,jumping,workRate,aggression,goalkeeping,reflexes,来源ID,来源URL,数据集URL,备注
1,阿根廷,阿尔弗雷多·迪斯蒂法诺,阿尔弗雷多·迪斯蒂法诺,Alfredo Di Stéfano,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,89,,ATT,ST,LW,ST,阿根廷,传奇球员,,188,27,right,,,74,86,83,63,95,84,80,72,32,30,51,71,84,91,93,67,85,86,80,76,81,77,74,65,8,8,real-att-127,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
2,阿根廷,丹尼尔·帕萨雷拉,丹尼尔·帕萨雷拉,Daniel Passarella,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
3,阿根廷,费尔南多·雷东多,费尔南多·雷东多,Fernando Redondo,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,87,,MID,DM,CB,DM,阿根廷,传奇球员,,180,27,left,,,85,80,69,63,52,67,71,65,85,82,85,80,83,83,68,75,71,69,79,87,70,73,88,73,10,10,real-mid-133,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
4,阿根廷,奥马尔·西沃里,奥马尔·西沃里,Omar Sívori,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,87,,ATT,ST,RW,ST,阿根廷,传奇球员,,181,27,left,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,real-att-139,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
5,阿根廷,何塞·曼努埃尔·莫雷诺,何塞·曼努埃尔·莫雷诺,José Manuel Moreno,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
6,阿根廷,阿道夫·佩德内拉,阿道夫·佩德内拉,Adolfo Pedernera,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
7,阿根廷,乌巴尔多·菲洛尔,乌巴尔多·菲洛尔,Ubaldo Fillol,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
8,阿根廷,奥斯卡·鲁杰里,奥斯卡·鲁杰里,Oscar Ruggeri,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
9,阿根廷,里卡多·博奇尼,里卡多·博奇尼,Ricardo Bochini,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
10,阿根廷,埃尔南·克雷斯波,埃尔南·克雷斯波,Hernán Crespo,已映射,部分参考（25/26）,无结果,,可新增候选,,,FIFA historical snapshot (2010),Kaggle FIFA historical complete player archive,76,76,,ATT,ST,,ST,Argentina,Parma,,183,35,right,3,3,52,75,56,47,85,56,85,63,18,17,19,77,75,,86,67,46,54,69,30,60,75,30,47,8,8,7512,https://cdn.sofifa.com/players/007/512/12_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
11,阿根廷,胡安·塞巴斯蒂安·贝隆,胡安·塞巴斯蒂安·贝隆,Juan Sebastián Verón,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,84,84,,MID,DM,AM,DM,阿根廷,传奇球员,,186,27,right,,,83,78,67,61,50,65,69,63,83,80,83,78,81,81,66,73,69,67,77,85,68,71,86,71,10,10,real-mid-132,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
12,阿根廷,奥斯瓦尔多·阿尔迪列斯,奥斯瓦尔多·阿尔迪列斯,Osvaldo Ardiles,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
13,阿根廷,克劳迪奥·卡尼吉亚,克劳迪奥·卡尼吉亚,Claudio Caniggia,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,84,84,,ATT,ST,AM,ST,阿根廷,传奇球员,,184,27,right,,,71,83,80,60,92,81,77,69,29,27,48,68,81,88,90,64,82,83,77,73,78,74,71,62,8,8,real-att-146,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
14,阿根廷,豪尔赫·布鲁查加,豪尔赫·布鲁查加,Jorge Burruchaga,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
15,阿根廷,迭戈·西蒙尼,迭戈·西蒙尼,Diego Simeone,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,83,83,,MID,DM,AM,DM,阿根廷,传奇球员,,178,27,right,,,82,77,66,60,49,64,68,62,82,79,82,77,80,80,65,72,68,66,76,84,67,70,85,70,10,10,real-mid-134,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
