序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,调整后OVR,评级,位置池,主位置,副位置,国籍,俱乐部,身高cm,年龄,惯用脚,传球,停球,盘带,传中,射门,远射,头球,定位球,抢断,盯人,站位,视野,决策,冷静,无球,纪律,速度,加速,力量,耐力,灵活,弹跳,投入,侵略性,守门,反应,来源ID,来源URL,数据集URL,备注
1,阿根廷,迪斯蒂法诺,阿尔弗雷多·迪斯蒂法诺,Alfredo Di Stéfano,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,93,S,ATT,ST,LW,阿根廷,皇家马德里,188,31,右脚,78,90,88,67,96,88,84,77,35,33,54,76,89,96,96,71,89,91,83,80,86,80,79,68,10,10,real-att-127,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1957/58，年龄31岁，效力皇家马德里，惯用右脚；来源耦合回归；目标OVR 93；回归字段 0；锚点权重 80%；近邻：姆巴佩、盖德·穆勒、C罗、哈兰德、大罗
2,阿根廷,丹尼尔·帕萨雷拉,丹尼尔·帕萨雷拉,Daniel Passarella,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,88,A,DEF,CB,LB,阿根廷,河床,174,25,左脚,76,74,65,60,43,48,88,49,91,90,90,60,87,80,50,66,80,71,89,77,64,89,78,86,11,11,,https://www.transfermarkt.com/daniel-passarella/profil/spieler/116735,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；已人工补全/校对：身高cm。俱乐部按标准1填写（退役球员统一为“传奇球员”）。；巅峰赛季：1978，年龄25岁，效力河床，惯用左脚；同位置回归补齐；目标OVR 88；回归字段 26；锚点权重 0%；近邻：巴雷西、鲁本迪亚斯、帕乔、吕迪格、柯纳特
3,阿根廷,雷东多,费尔南多·雷东多,Fernando Redondo,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,A,MID,DM,CB,阿根廷,皇家马德里,180,30,左脚,89,86,71,65,54,69,72,67,86,83,86,85,88,85,69,75,71,70,80,92,71,74,89,75,11,11,real-mid-133,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1999/00，年龄30岁，效力皇家马德里，惯用左脚；来源耦合回归；目标OVR 88；回归字段 0；锚点权重 88%；近邻：凯赛多、皮尔洛、卡塞米罗、哈维·阿隆索、基米希
4,阿根廷,奥马尔·西沃里,奥马尔·西沃里,Omar Sívori,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,ATT,ST,RW,阿根廷,尤文图斯,181,25,左脚,73,85,81,64,91,83,80,71,32,30,49,70,83,89,91,66,83,85,79,75,80,77,74,65,8,8,real-att-139,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1960/61，年龄25岁，效力尤文图斯，惯用左脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 88%；近邻：沃特金斯、迭戈·米利托、本泽马、希克、马科斯图拉姆
5,阿根廷,曼努埃尔·莫雷诺,何塞·曼努埃尔·莫雷诺,José Manuel Moreno,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,ATT,RW,RM,阿根廷,河床,178,25,右脚,81,88,87,84,85,81,61,79,48,49,51,83,83,86,86,72,86,87,66,78,88,74,78,67,11,11,,https://www.national-football-teams.com/player/18643/Jose_Manuel_Moreno.html,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；已人工补全/校对：身高cm。俱乐部按标准1填写（退役球员统一为“传奇球员”）。；巅峰赛季：1941，年龄25岁，效力河床，惯用右脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：卡纳里奥、普利希奇、乔治贝斯特、阿斯帕斯、罗德里戈
6,阿根廷,阿道夫·佩德内拉,阿道夫·佩德内拉,Adolfo Pedernera,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,ATT,ST,AM,阿根廷,河床,175,27,左脚,75,86,84,74,88,81,82,72,34,39,44,70,86,85,88,68,85,83,78,78,80,86,78,71,10,10,,https://www.national-football-teams.com/player/43892/Adolfo_Pedernera.html,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1946，年龄27岁，效力河床，惯用左脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：卢克曼、阿约塞、马尔穆什、罗马里奥、大卫·比利亚
7,阿根廷,乌巴尔多·菲洛尔,乌巴尔多·菲洛尔,Ubaldo Fillol,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,GK,GK,,阿根廷,河床,181,27,右脚,57,35,71,48,12,13,18,21,16,18,85,23,81,83,14,71,75,48,70,43,54,73,41,32,86,86,,https://www.transfermarkt.com/ubaldo-fillol/profil/spieler/135806,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1977/78，年龄27岁，效力河床，惯用右脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：皮克福德、乌奈西蒙、德赫亚、布冯、古拉奇
8,阿根廷,奥斯卡·鲁杰里,奥斯卡·鲁杰里,Oscar Ruggeri,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,DEF,CB,RB,阿根廷,河床,185,24,右脚,75,74,64,59,44,51,87,49,89,89,89,61,86,80,51,65,80,72,88,76,64,88,76,85,11,11,,https://www.transfermarkt.com/oscar-ruggeri/profil/spieler/102214,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1986，年龄24岁，效力河床，惯用右脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：博阿滕、拉斐尔·瓦拉内、于帕梅卡诺、布雷默、伊尼戈马丁内斯
9,阿根廷,里卡多·博奇尼,里卡多·博奇尼,Ricardo Bochini,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,MID,AM,ST,阿根廷,独立竞技,168,30,右脚,86,88,86,85,79,81,63,75,66,65,69,84,87,87,83,68,73,75,69,85,80,72,83,70,9,9,,https://en.wikipedia.org/wiki/Ricardo_Bochini,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1984，年龄30岁，效力独立竞技，惯用右脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：若昂内维斯、赖因德斯、麦克托米奈、迪巴拉、奥尔莫
10,阿根廷,埃尔南·克雷斯波,埃尔南·克雷斯波,Hernán Crespo,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2010),Kaggle FIFA historical complete player archive,89,A,ATT,ST,AM,阿根廷,拉齐奥,183,25,右脚,69,88,82,61,96,75,91,76,29,28,39,86,89,96,96,74,75,75,80,56,78,82,56,61,13,13,7512,https://cdn.sofifa.com/players/007/512/12_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为AM。；巅峰赛季：2000/01，年龄25岁，效力拉齐奥，惯用右脚；来源锚点+回归补齐；目标OVR 89；回归字段 1；锚点权重 62%；近邻：莱万多夫斯基、凯恩、克鲁伊夫、克洛泽、劳尔·冈萨雷斯
