id,name,pool,role,overall,grade,original_nationality,original_club,nationality,club,review_status,notes,database_name,database_uid,database_ca,database_pa,database_nationality,database_club
real-gk-001,阿利松,GK,GK,87,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-002,埃德森,GK,GK,86,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-003,库尔图瓦,GK,GK,90,S,比利时,皇家马德里,比利时,皇家马德里,待审阅,,,,,,,
real-gk-004,奥布拉克,GK,GK,86,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-005,特尔施特根,GK,GK,87,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-006,多纳鲁马,GK,GK,87,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-007,迈尼昂,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-008,诺伊尔,GK,GK,86,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-009,马丁内斯,GK,GK,85,B,阿根廷,未登记俱乐部,阿根廷,,待审阅,,,,,,,
real-gk-010,索默,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-011,拉亚,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-012,奥纳纳,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-013,科贝尔,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-014,迪奥戈·科斯塔,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-015,卢宁,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-016,凯莱赫,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-017,维卡里奥,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-018,波普,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-019,皮克福德,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-020,罗宾·岑特纳,GK,GK,79,C,德国,美因茨,德国,美因茨,待审阅,,,,,,,
real-gk-021,拉姆斯代尔,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-022,莱诺,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-023,若泽·萨,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
