ownerId	ownerName	teamName	appearanceRank	playerId	playerName	seasons	appearances	leagueApps	cupApps	goals	assists	saves	tackles	interceptions	clearances	blocks	averageRating	yellowCards	redCards
P-C0ACCAAD1C	唱反调	皇马美国分部	1	s4-fc26-204963	卡瓦哈尔	13	210	173	37	3	22	0	902	82	147	13	6.57	21	1
P-C0ACCAAD1C	唱反调	皇马美国分部	2	s4-dlc-20260731-003	卡塞米罗	11	181	146	35	8	15	0	366	58	65	17	6.59	9	1
P-C0ACCAAD1C	唱反调	皇马美国分部	3	s4-fc26-243812	罗德里戈	11	167	130	37	74	26	0	419	27	20	1	6.88	7	1
P-C0ACCAAD1C	唱反调	皇马美国分部	4	s4-fc26-205452	吕迪格	13	141	110	31	3	13	0	861	65	41	7	6.51	19	3
P-C0ACCAAD1C	唱反调	皇马美国分部	5	legend-zidane	齐达内	12	138	108	30	30	41	0	279	40	12	6	6.74	8	1
P-C0ACCAAD1C	唱反调	皇马美国分部	6	s4-fc26-240130	米利唐	11	126	96	30	3	11	1	902	48	56	13	6.59	25	2
P-C0ACCAAD1C	唱反调	皇马美国分部	7	s4-fc26-238794	维尼修斯	11	120	90	30	84	24	0	265	17	27	5	7.11	5	1
P-C0ACCAAD1C	唱反调	皇马美国分部	8	legend-ronaldo-nazario	大罗	11	118	89	29	53	36	0	37	0	25	3	6.95	3	0
P-C0ACCAAD1C	唱反调	皇马美国分部	9	legend-cristiano-ronaldo	C罗	13	111	104	7	56	29	0	56	3	21	1	6.91	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	10	s4-retired-roberto-carlos	罗伯特卡洛斯	11	110	80	30	1	15	0	565	54	87	12	6.59	17	2
P-C0ACCAAD1C	唱反调	皇马美国分部	11	ydl-x-player-8	唐昊	12	108	99	9	0	2	417	610	34	15	0	7.04	8	0
P-C0ACCAAD1C	唱反调	皇马美国分部	12	legend-beckenbauer	贝肯鲍尔	12	103	98	5	2	13	0	476	34	42	11	6.5	13	3
P-C0ACCAAD1C	唱反调	皇马美国分部	13	legend-kroos	克罗斯	12	101	100	1	11	20	0	195	14	15	6	6.53	4	0
P-C0ACCAAD1C	唱反调	皇马美国分部	14	s4-dlc-20260731-049	罗比尼奥	11	94	85	9	57	14	0	233	16	19	2	7.03	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	15	s4-retired-fabio-cannavaro	卡纳瓦罗	11	90	84	6	0	8	0	464	30	42	6	6.52	15	2
P-C0ACCAAD1C	唱反调	皇马美国分部	16	s4-dlc-20260731-001	塞尔希奥·拉莫斯	11	71	64	7	1	3	0	506	33	24	3	6.52	11	3
P-C0ACCAAD1C	唱反调	皇马美国分部	17	s4-dlc2-20260803-073	哈梅斯·罗德里格斯	7	64	54	10	7	17	0	164	27	17	4	6.77	5	1
P-C0ACCAAD1C	唱反调	皇马美国分部	18	s4-dlc-20260731-048	迪迪	8	61	60	1	5	10	0	159	1	1	0	6.51	1	1
P-C0ACCAAD1C	唱反调	皇马美国分部	19	s4-fc26-239231	库库雷利亚	5	61	54	7	0	5	0	330	54	53	7	6.7	10	1
P-C0ACCAAD1C	唱反调	皇马美国分部	20	s4-fc26-252371	贝林厄姆	5	60	31	29	7	7	0	164	32	28	3	6.74	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	21	s4-dlc2-20260803-072	凯洛尔·纳瓦斯	5	58	28	30	0	0	175	258	19	5	0	6.92	5	1
P-C0ACCAAD1C	唱反调	皇马美国分部	22	legend-pele	贝利	8	56	56	0	38	10	0	31	0	0	0	6.9	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	23	s4-dlc2-20260803-074	古蒂	7	56	48	8	7	12	0	165	21	28	6	6.76	3	1
P-C0ACCAAD1C	唱反调	皇马美国分部	24	s4-retired-iker-casillas	卡西利亚斯	9	53	53	0	0	0	242	308	0	0	0	6.86	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	25	s4-retired-marcelo	马塞洛	6	47	47	0	2	2	0	306	0	0	0	6.39	5	1
P-C0ACCAAD1C	唱反调	皇马美国分部	26	legend-modric	莫德里奇	7	46	46	0	11	16	0	98	1	2	0	6.74	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	27	s4-fc26-231281	阿诺德	6	46	46	0	2	15	0	225	0	0	0	6.49	6	1
P-C0ACCAAD1C	唱反调	皇马美国分部	28	s4-dlc-20260731-002	加雷斯·贝尔	6	35	35	0	15	7	0	15	11	21	7	7.03	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	29	s4-retired-claude-makelele	马克莱莱	6	27	27	0	2	2	0	93	0	0	0	6.48	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	30	legend-courtois	库尔图瓦	5	27	27	0	0	0	102	26	0	0	0	6.54	2	1
P-C0ACCAAD1C	唱反调	皇马美国分部	31	s4-fc26-251517	格瓦迪奥尔	2	24	24	0	2	7	0	18	0	0	0	6.26	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	32	s4-retired-gianluigi-buffon	布冯	2	22	22	0	0	0	70	18	0	0	0	6.25	4	0
P-C0ACCAAD1C	唱反调	皇马美国分部	33	s4-retired-luis-figo	路易斯菲戈	3	21	21	0	6	2	0	22	0	0	0	6.37	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	34	legend-messi	梅西	6	19	19	0	13	9	0	12	0	0	0	6.97	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	35	s4-dlc-20260731-050	卡纳里奥	6	18	18	0	10	4	0	48	0	0	0	6.95	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	36	s4-retired-philipp-lahm	拉姆	2	17	17	0	3	7	0	17	0	0	0	6.39	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	37	s4-fc26-234378	赖斯	2	16	16	0	6	2	0	14	0	0	0	6.48	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	38	s4-dlc2-20260803-021	海因策	3	15	15	0	1	0	0	141	2	5	0	6.19	7	4
P-C0ACCAAD1C	唱反调	皇马美国分部	39	legend-ronaldinho	罗纳尔迪尼奥	2	14	14	0	10	2	0	10	0	0	0	6.74	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	40	legend-maradona	马拉多纳	2	14	14	0	7	2	0	8	0	0	0	6.52	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	41	s4-fc26-208128	恰尔汗奥卢	2	13	13	0	4	9	0	14	0	0	0	6.62	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	42	s4-dlc-20260731-054	劳尔·冈萨雷斯	2	13	11	2	2	4	0	2	1	7	0	6.84	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	43	s4-retired-carles-puyol	普约尔	1	13	13	0	0	5	0	14	0	0	0	6.29	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	44	s4-fc26-212198	布鲁诺费尔南德斯	2	12	12	0	5	3	0	8	0	0	0	6.49	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	45	s4-retired-thierry-henry	亨利	2	10	10	0	9	1	0	11	0	0	0	6.82	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	46	legend-mbappe	姆巴佩	4	8	8	0	5	2	0	10	0	0	0	6.97	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	47	s4-fc26-192984	卡斯特尔斯	2	8	8	0	0	0	25	3	0	0	0	6.31	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	48	s4-fc26-248243	卡马文加	1	7	7	0	1	1	0	8	0	0	0	6.26	2	0
P-C0ACCAAD1C	唱反调	皇马美国分部	49	s4-retired-nemanja-vidic	维迪奇	1	7	7	0	0	3	0	8	0	0	0	6.29	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	50	s4-fc26-212831	阿利松	1	6	6	0	0	0	22	5	0	0	0	6.45	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	51	s4-fc26-233419	拉菲尼亚	1	6	6	0	0	2	0	3	0	0	0	6.12	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	52	s4-dlc2-20260803-003	雷东多	4	6	4	2	0	0	0	13	1	5	0	6.57	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	53	s4-fc26-243014	姆伯莫	1	4	4	0	3	1	0	7	0	0	0	6.8	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	54	s4-fc26-197445	阿拉巴	1	4	4	0	0	1	0	1	0	0	0	6.13	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	55	s4-fc26-229261	扎卡里亚	1	3	3	0	1	3	0	0	0	0	0	6.83	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	56	s4-dlc2-20260803-029	埃德加·戴维斯	1	3	3	0	0	0	0	9	0	0	0	6.5	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	57	s4-dlc3-20260808-012	耶罗	2	3	3	0	0	0	0	5	7	3	1	6.47	3	1
P-C0ACCAAD1C	唱反调	皇马美国分部	58	s4-fc26-165153	本泽马	1	2	2	0	1	1	0	1	0	0	0	6.7	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	59	s4-fc26-242458	多夫比克	1	2	2	0	1	0	0	2	0	0	0	6.2	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	60	s4-fc26-210602	道萨里	1	2	2	0	0	0	0	3	0	0	0	6.1	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	61	s4-fc26-183898	迪马利亚	2	2	1	1	0	0	0	12	0	0	0	6.5	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	62	s4-fc26-278349	赫伊森	1	2	2	0	0	0	0	2	0	0	0	6.1	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	63	s4-fc26-278046	库巴西	1	2	2	0	0	0	0	1	0	0	0	6	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	64	s4-fc26-204485	马赫雷斯	1	2	2	0	0	1	0	0	0	0	0	6.15	1	0
P-C0ACCAAD1C	唱反调	皇马美国分部	65	s4-fc26-223334	乔林顿	1	2	2	0	0	2	0	1	0	0	0	6.55	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	66	s4-dlc2-20260803-067	詹尼·里维拉	1	1	1	0	3	0	0	9	0	0	0	8.9	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	67	s4-retired-george-best	乔治贝斯特	1	1	1	0	2	0	0	0	0	0	0	7.6	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	68	s4-dlc2-20260803-069	贾琴托·法切蒂	1	1	1	0	0	0	0	5	0	0	0	6.5	0	0
P-C0ACCAAD1C	唱反调	皇马美国分部	69	s4-dlc3-20260808-045	马塔	1	1	0	1	0	0	0	0	1	0	0	6.6	0	0
P-5CF850B13B	皇马	皇家马德里	1	ydl-x-player-2	李俊良	13	215	181	34	80	29	0	245	50	19	3	6.79	4	0
P-5CF850B13B	皇马	皇家马德里	2	s4-retired-oliver-kahn	卡恩	13	170	154	16	0	0	654	687	24	9	0	6.85	9	1
P-5CF850B13B	皇马	皇家马德里	3	s4-fc26-235212	阿什拉夫	12	146	119	27	1	10	0	879	55	78	17	6.54	23	2
P-5CF850B13B	皇马	皇家马德里	4	legend-messi	梅西	13	141	121	20	61	14	0	201	16	19	2	6.8	2	1
P-5CF850B13B	皇马	皇家马德里	5	s4-fc26-192985	德布劳内	11	132	109	23	23	25	0	247	15	23	10	6.67	8	2
P-5CF850B13B	皇马	皇家马德里	6	legend-cristiano-ronaldo	C罗	12	129	122	7	40	29	0	50	6	11	1	6.75	1	0
P-5CF850B13B	皇马	皇家马德里	7	legend-ronaldinho	罗纳尔迪尼奥	11	121	104	17	16	19	0	293	22	13	1	6.62	10	1
P-5CF850B13B	皇马	皇家马德里	8	s4-fc26-200104	孙兴慜	12	117	99	18	44	13	0	226	20	12	1	6.77	7	1
P-5CF850B13B	皇马	皇家马德里	9	legend-kroos	克罗斯	12	116	106	10	7	20	0	260	29	13	4	6.6	7	1
P-5CF850B13B	皇马	皇家马德里	10	s4-retired-rio-ferdinand	费迪南德	12	106	96	10	0	9	0	729	37	48	6	6.5	14	2
P-5CF850B13B	皇马	皇家马德里	11	legend-beckenbauer	贝肯鲍尔	7	103	76	27	0	2	0	972	51	53	13	6.61	23	3
P-5CF850B13B	皇马	皇家马德里	12	s4-fc26-231866	罗德里	11	91	91	0	10	14	0	196	1	1	0	6.44	6	0
P-5CF850B13B	皇马	皇家马德里	13	s4-retired-roberto-carlos	罗伯特卡洛斯	9	90	72	18	0	3	0	702	55	73	5	6.65	16	1
P-5CF850B13B	皇马	皇家马德里	14	s4-fc26-243715	萨利巴	8	79	79	0	1	7	0	561	0	0	0	6.43	7	0
P-5CF850B13B	皇马	皇家马德里	15	legend-zidane	齐达内	8	77	70	7	8	16	0	241	25	10	1	6.73	4	0
P-5CF850B13B	皇马	皇家马德里	16	s4-fc26-258966	坎比亚索	6	75	75	0	4	5	0	528	0	0	0	6.45	6	1
P-5CF850B13B	皇马	皇家马德里	17	s4-retired-philipp-lahm	拉姆	9	75	75	0	3	9	0	355	0	0	0	6.4	6	0
